0.000000e+00 1.000000e+00 2.000000e+00 3.000000e+00
3.000000e-03 1.030545e+00 2.067020e+00 2.982264e+00
6.000000e-03 1.062198e+00 2.136131e+00 2.965072e+00
9.000000e-03 1.094991e+00 2.207408e+00 2.948445e+00
1.200000e-02 1.128954e+00 2.280930e+00 2.932408e+00
1.500000e-02 1.164121e+00 2.356777e+00 2.916986e+00
1.800000e-02 1.200525e+00 2.435031e+00 2.902207e+00
2.100000e-02 1.238203e+00 2.515775e+00 2.888101e+00
2.400000e-02 1.277192e+00 2.599098e+00 2.874698e+00
2.700000e-02 1.317531e+00 2.685087e+00 2.862034e+00
3.000000e-02 1.359259e+00 2.773833e+00 2.850144e+00
3.300000e-02 1.402419e+00 2.865431e+00 2.839067e+00
3.600000e-02 1.447055e+00 2.959976e+00 2.828845e+00
3.900000e-02 1.493210e+00 3.057566e+00 2.819521e+00
4.200000e-02 1.540932e+00 3.158303e+00 2.811142e+00
4.500000e-02 1.590269e+00 3.262292e+00 2.803760e+00
4.800000e-02 1.641270e+00 3.369637e+00 2.797428e+00
5.100000e-02 1.693988e+00 3.480448e+00 2.792204e+00
5.400000e-02 1.748476e+00 3.594838e+00 2.788149e+00
5.700000e-02 1.804788e+00 3.712921e+00 2.785329e+00
6.000000e-02 1.862983e+00 3.834814e+00 2.783814e+00
6.300000e-02 1.923118e+00 3.960639e+00 2.783679e+00
6.600000e-02 1.985255e+00 4.090517e+00 2.785003e+00
6.900000e-02 2.049455e+00 4.224576e+00 2.787873e+00
7.200000e-02 2.115784e+00 4.362943e+00 2.792377e+00
7.500000e-02 2.184307e+00 4.505751e+00 2.798614e+00
7.800000e-02 2.255094e+00 4.653133e+00 2.806687e+00
8.100000e-02 2.328213e+00 4.805227e+00 2.816705e+00
8.400000e-02 2.403739e+00 4.962172e+00 2.828785e+00
8.700000e-02 2.481745e+00 5.124110e+00 2.843054e+00
9.000000e-02 2.562307e+00 5.291184e+00 2.859642e+00
9.300000e-02 2.645504e+00 5.463542e+00 2.878694e+00
9.600000e-02 2.731416e+00 5.641331e+00 2.900358e+00
9.900000e-02 2.820126e+00 5.824701e+00 2.924796e+00
1.020000e-01 2.911719e+00 6.013804e+00 2.952178e+00
1.050000e-01 3.006281e+00 6.208792e+00 2.982687e+00
1.080000e-01 3.103900e+00 6.409819e+00 3.016514e+00
1.110000e-01 3.204666e+00 6.617038e+00 3.053866e+00
1.140000e-01 3.308673e+00 6.830604e+00 3.094959e+00
1.170000e-01 3.416014e+00 7.050670e+00 3.140027e+00
1.200000e-01 3.526785e+00 7.277387e+00 3.189315e+00
1.230000e-01 3.641083e+00 7.510906e+00 3.243082e+00
1.260000e-01 3.759007e+00 7.751375e+00 3.301607e+00
1.290000e-01 3.880658e+00 7.998940e+00 3.365182e+00
1.320000e-01 4.006138e+00 8.253740e+00 3.434118e+00
1.350000e-01 4.135549e+00 8.515911e+00 3.508743e+00
1.380000e-01 4.268994e+00 8.785582e+00 3.589405e+00
1.410000e-01 4.406579e+00 9.062875e+00 3.676472e+00
1.440000e-01 4.548407e+00 9.347902e+00 3.770332e+00
1.470000e-01 4.694584e+00 9.640768e+00 3.871395e+00
1.500000e-01 4.845213e+00 9.941561e+00 3.980094e+00
1.530000e-01 5.000399e+00 1.025036e+01 4.096883e+00
1.560000e-01 5.160245e+00 1.056722e+01 4.222243e+00
1.590000e-01 5.324851e+00 1.089220e+01 4.356676e+00
1.620000e-01 5.494318e+00 1.122531e+01 4.500713e+00
1.650000e-01 5.668743e+00 1.156655e+01 4.654907e+00
1.680000e-01 5.848218e+00 1.191591e+01 4.819839e+00
1.710000e-01 6.032833e+00 1.227332e+01 4.996117e+00
1.740000e-01 6.222674e+00 1.263871e+01 5.184374e+00
1.770000e-01 6.417821e+00 1.301195e+01 5.385271e+00
1.800000e-01 6.618346e+00 1.339290e+01 5.599493e+00
1.830000e-01 6.824315e+00 1.378134e+01 5.827753e+00
1.860000e-01 7.035785e+00 1.417703e+01 6.070788e+00
1.890000e-01 7.252804e+00 1.457969e+01 6.329357e+00
1.920000e-01 7.475408e+00 1.498895e+01 6.604244e+00
1.950000e-01 7.703622e+00 1.540441e+01 6.896251e+00
1.980000e-01 7.937456e+00 1.582558e+01 7.206199e+00
2.010000e-01 8.176905e+00 1.625193e+01 7.534922e+00
2.040000e-01 8.421948e+00 1.668284e+01 7.883267e+00
2.070000e-01 8.672542e+00 1.711759e+01 8.252087e+00
2.100000e-01 8.928626e+00 1.755541e+01 8.642236e+00
2.130000e-01 9.190116e+00 1.799541e+01 9.054567e+00
2.160000e-01 9.456903e+00 1.843662e+01 9.489920e+00
2.190000e-01 9.728849e+00 1.887796e+01 9.949119e+00
2.220000e-01 1.000579e+01 1.931825e+01 1.043296e+01
2.250000e-01 1.028753e+01 1.975620e+01 1.094220e+01
2.280000e-01 1.057383e+01 2.019039e+01 1.147757e+01
2.310000e-01 1.086442e+01 2.061932e+01 1.203971e+01
2.340000e-01 1.115901e+01 2.104132e+01 1.262922e+01
2.370000e-01 1.145724e+01 2.145464e+01 1.324660e+01
2.400000e-01 1.175872e+01 2.185740e+01 1.389226e+01
2.430000e-01 1.206301e+01 2.224759e+01 1.456649e+01
2.460000e-01 1.236962e+01 2.262310e+01 1.526946e+01
2.490000e-01 1.267803e+01 2.298171e+01 1.600119e+01
2.520000e-01 1.298764e+01 2.332108e+01 1.676154e+01
2.550000e-01 1.329781e+01 2.363880e+01 1.755018e+01
2.580000e-01 1.360786e+01 2.393237e+01 1.836660e+01
